monthyear,business_level,category,brand,Sales Amount,Spend on meta Amount,Spend on tv Amount,Spend on ucontent Amount,Spend on youtube Amount
2021-11-01,Business Unit 1,Category 1,Brand 1,145330114877.726,2528979950.0,5990800009.8432,782410551.62616,0.0
2021-12-01,Business Unit 1,Category 1,Brand 1,147615037895.30402,1291429768.423924,6110214610.3424,782410551.62616,0.0
2022-01-01,Business Unit 1,Category 1,Brand 1,151890106655.806,2277652750.0,7803859256.763499,729906610.5605145,0.0
2022-02-01,Business Unit 1,Category 1,Brand 1,131704174482.158,3229892240.925,8210563874.7174,729906610.5605145,0.0
2022-03-01,Business Unit 1,Category 1,Brand 1,143433903932.438,1382299600.0,6837828719.808798,729906610.5605145,0.0
2022-04-01,Business Unit 1,Category 1,Brand 1,129518563407.66,2953014458.0391,4675912286.78035,729906610.5605145,0.0
2022-05-01,Business Unit 1,Category 1,Brand 1,163442783005.184,2135935625.1,4609770758.883549,729906610.5605145,0.0
2022-06-01,Business Unit 1,Category 1,Brand 1,148375953612.75198,13137170613.85585,4823089974.192824,729906610.5605145,3455749000.0
2022-07-01,Business Unit 1,Category 1,Brand 1,148664349061.47998,6104205540.35308,7768299709.50915,729906610.5605145,942477000.0
2022-08-01,Business Unit 1,Category 1,Brand 1,149143731505.237,11486358295.5391,11822144496.29222,729906610.5605145,942477000.0
2022-09-01,Business Unit 1,Category 1,Brand 1,141568551883.24298,13230761664.99723,10863592239.8361,838281634.2752589,942477000.0
2022-10-01,Business Unit 1,Category 1,Brand 1,141047564106.47998,8376616965.269549,8724529113.981848,838281634.2752589,0.0
2022-11-01,Business Unit 1,Category 1,Brand 1,141246749080.614,12660510043.67485,8447964076.380449,729906610.5605145,0.0
2022-12-01,Business Unit 1,Category 1,Brand 1,150611282233.954,15275717860.39429,9967129046.460491,729906610.5605145,0.0
2023-01-01,Business Unit 1,Category 1,Brand 1,154319146973.044,6510432209.37074,11661674984.67027,0.0,1099556500.0
2023-02-01,Business Unit 1,Category 1,Brand 1,139197099738.136,15526795509.37074,12499446182.88747,0.0,1099556500.0
2023-03-01,Business Unit 1,Category 1,Brand 1,145184906189.7,7311537659.37074,7464261649.94696,0.0,708481910.8123392
2023-04-01,Business Unit 1,Category 1,Brand 1,166802956669.25,5049592859.37074,7182948858.94835,0.0,0.0
2023-05-01,Business Unit 1,Category 1,Brand 1,181462008308.0,6622273598.76824,4785589683.01246,0.0,983546412.30949
2023-06-01,Business Unit 1,Category 1,Brand 1,155943880560.072,12708090409.11331,4812631324.20257,0.0,1922187314.14978
2023-07-01,Business Unit 1,Category 1,Brand 1,165708972407.433,10471977199.37074,6085672342.75813,0.0,1902678184.76292
2023-08-01,Business Unit 1,Category 1,Brand 1,151483142888.093,9762150825.891369,7257937669.77135,0.0,1256636000.0
2023-09-01,Business Unit 1,Category 1,Brand 1,143573878417.365,9122086298.35936,5933922512.49405,0.0,1069641745.9497
2023-10-01,Business Unit 1,Category 1,Brand 1,163006902786.475,13072541366.75091,6615925070.554649,0.0,1755423935.23135
2023-11-01,Business Unit 1,Category 1,Brand 1,139550671869.64,12805506216.75091,6881601891.286349,0.0,1151229011.03715
2023-12-01,Business Unit 1,Category 1,Brand 1,118074352652.145,5211502704.79206,6387419178.27851,0.0,732873998.20524
2024-01-01,Business Unit 1,Category 1,Brand 1,128519991229.4596,7970213830.0,9884038536.30401,0.0,3397313732.68299
2024-02-01,Business Unit 1,Category 1,Brand 1,128287332589.8515,9427283272.0,9838098509.672579,0.0,4397382068.39512
2024-03-01,Business Unit 1,Category 1,Brand 1,140052382818.4568,14348269904.54862,10185062960.0623,0.0,1369505198.26508
2024-04-01,Business Unit 1,Category 1,Brand 1,158652654241.95352,4747570808.0,6361730591.62709,0.0,1243744670.78881
2024-05-01,Business Unit 1,Category 1,Brand 1,150095369357.91092,7363870812.2274,6525379926.006639,0.0,2405131667.51606
2024-06-01,Business Unit 1,Category 1,Brand 1,143672809555.2861,7419789782.19324,5200102917.689939,0.0,2052778692.84336
2024-07-01,Business Unit 1,Category 1,Brand 1,147945372596.1651,6317737490.0,5019529121.697869,0.0,1300393312.73123
2024-08-01,Business Unit 1,Category 1,Brand 1,153531056544.51538,6463975991.228,4775247612.71472,0.0,1201877527.09698
2024-09-01,Business Unit 1,Category 1,Brand 1,150166773638.31,9080920461.227999,4297355529.82895,0.0,646336887.89605
2024-10-01,Business Unit 1,Category 1,Brand 1,154959646174.11002,4361462193.33413,1750954189.489868,0.0,452032390.9801314
2024-11-01,Business Unit 1,Category 1,Brand 1,139319369164.30002,6956270806.566011,2059700231.365,0.0,0.0
2024-12-01,Business Unit 1,Category 1,Brand 1,139895536770.30002,7208351152.503071,3264576965.32,0.0,0.0
2025-01-01,Business Unit 1,Category 1,Brand 1,153915036083.21,6157876602.14304,2884420512.781377,0.0,722146957.4689
2025-02-01,Business Unit 1,Category 1,Brand 1,133859081540.95,6565874895.44304,3730381473.289382,0.0,1584904018.91996
2025-03-01,Business Unit 1,Category 1,Brand 1,151976290981.9484,10352505990.56133,4125023999.93611,0.0,777565101.44012
2025-04-01,Business Unit 1,Category 1,Brand 1,174139068832.06,7536659236.120299,4031215950.502642,0.0,869034705.9694799
2025-05-01,Business Unit 1,Category 1,Brand 1,162781576956.11,7864504506.537897,5215246493.681915,0.0,960834755.5014
2018-01-01,Business Unit 1,Category 2,Brand 3,82392509896.434,3414836059.227674,4791405512.68611,0.0,0.0
2018-02-01,Business Unit 1,Category 2,Brand 3,71427190240.0,4538665736.452665,4562600131.649056,0.0,0.0
2018-03-01,Business Unit 1,Category 2,Brand 3,82346160134.21,6558379846.204333,4286626461.019119,0.0,942477000.0
2018-04-01,Business Unit 1,Category 2,Brand 3,79511762972.54399,12747865165.78845,5963330445.253959,0.0,0.0
2018-05-01,Business Unit 1,Category 2,Brand 3,78618146807.65498,7988296036.6425,5447235739.396427,0.0,471238500.0
2018-06-01,Business Unit 1,Category 2,Brand 3,101230590004.432,7025434829.9275,2541586927.782306,0.0,471238500.0
2018-07-01,Business Unit 1,Category 2,Brand 3,77396743739.505,8335334132.184999,1691692928.660718,0.0,942477000.0
2018-08-01,Business Unit 1,Category 2,Brand 3,84540017254.14,5576322250.0,3322295294.189036,0.0,471238500.0
2018-09-01,Business Unit 1,Category 2,Brand 3,99743655665.415,1649334750.0,854129196.3962108,0.0,0.0
2018-10-01,Business Unit 1,Category 2,Brand 3,72735171444.48302,1806414250.0,850300327.0763174,0.0,0.0
2018-11-01,Business Unit 1,Category 2,Brand 3,71421577475.30602,0.0,850300327.0763174,0.0,0.0
2019-01-01,Business Unit 1,Category 2,Brand 3,77731456592.08,2701767400.0,1435219035.69131,0.0,0.0
2019-02-01,Business Unit 1,Category 2,Brand 3,66332145126.686,3548757909.603497,2395250274.415306,0.0,0.0
2019-03-01,Business Unit 1,Category 2,Brand 3,77777029753.256,8092822098.116246,973836945.3604213,0.0,0.0
2019-04-01,Business Unit 1,Category 2,Brand 3,69407217613.29797,8302092233.557982,1150906523.713476,0.0,0.0
2019-05-01,Business Unit 1,Category 2,Brand 3,76093630742.886,4471890275.856877,2070527380.280405,0.0,0.0
2019-06-01,Business Unit 1,Category 2,Brand 3,99706484058.37598,2011737144.014216,1877950341.101157,0.0,0.0
2019-07-01,Business Unit 1,Category 2,Brand 3,73261146181.21199,1408843793.571536,1258802234.87835,0.0,0.0
2019-08-01,Business Unit 1,Category 2,Brand 3,74491161604.188,1876810101.204147,1528937578.398248,0.0,0.0
2019-09-01,Business Unit 1,Category 2,Brand 3,70411336064.84698,968051704.494994,0.0,0.0,0.0
2019-10-01,Business Unit 1,Category 2,Brand 3,72492303603.876,557117437.4843878,1449255700.400653,0.0,0.0
2019-11-01,Business Unit 1,Category 2,Brand 3,67630573384.29699,2798919850.483173,0.0,0.0,0.0
2019-12-01,Business Unit 1,Category 2,Brand 3,68133797040.405,1280483627.84946,0.0,0.0,0.0
2020-01-01,Business Unit 1,Category 2,Brand 3,68473290136.324,1335175750.0,5023266624.698303,72543754.62496416,0.0
2020-02-01,Business Unit 1,Category 2,Brand 3,63061468450.22199,1385441190.0,5084706461.061797,72543754.62496416,0.0
2020-03-01,Business Unit 1,Category 2,Brand 3,66479508631.29299,1771856760.0,4260536635.916466,72543754.62496416,0.0
2020-04-01,Business Unit 1,Category 2,Brand 3,45155995723.08,1377597896.406,0.0,72543754.62496416,0.0
2020-05-01,Business Unit 1,Category 2,Brand 3,43839733287.356995,3047342300.0,0.0,72543754.62496416,0.0
2020-06-01,Business Unit 1,Category 2,Brand 3,54727030299.505,2616313638.728,3083792139.042531,72543754.62496416,0.0
2020-07-01,Business Unit 1,Category 2,Brand 3,48970783221.184,6636571562.335569,3902286928.8615,72543754.62496416,0.0
2020-08-01,Business Unit 1,Category 2,Brand 3,53470707201.86899,2876879626.6,8247089298.521415,72543752.16667,1099556500.0
2020-09-01,Business Unit 1,Category 2,Brand 3,57083330241.88299,125663600.0,4935127039.823939,72543752.16667,0.0
2020-10-01,Business Unit 1,Category 2,Brand 3,55815104602.21399,7531620072.35327,9165093048.689442,72543752.16667,0.0
2020-11-01,Business Unit 1,Category 2,Brand 3,101886857788.18501,2866952202.2,7692391366.544496,72543752.16667,628318000.0
2020-12-01,Business Unit 1,Category 2,Brand 3,62636129836.75801,590133377.84073,5161594082.146246,72543752.16667,0.0
2021-01-01,Business Unit 1,Category 2,Brand 3,57431562612.86399,4916588350.0,4065258457.7495,26179921.90265,628318000.0
2021-02-01,Business Unit 1,Category 2,Brand 3,47795817565.619,1637195648.596192,9726315830.309,26179915.61947,0.0
2021-03-01,Business Unit 1,Category 2,Brand 3,52606873938.49799,1562645715.54,7836342826.125,26179915.61947,0.0
2021-04-01,Business Unit 1,Category 2,Brand 3,48048088499.255,1601425502.5,3259942805.911,26179915.61947,0.0
2021-05-01,Business Unit 1,Category 2,Brand 3,64030802588.973,198573618.3638075,0.0,26179915.61947,0.0
2021-06-01,Business Unit 1,Category 2,Brand 3,50251836915.29999,109955650.0,0.0,26179915.61947,0.0
2021-07-01,Business Unit 1,Category 2,Brand 3,43909227771.429,1479688890.0,3158065597.5165,91757151.12047,471238500.0
2021-08-01,Business Unit 1,Category 2,Brand 3,44064963927.545006,2024739047.05,3222052246.0005,91757151.12047,0.0
2021-09-01,Business Unit 1,Category 2,Brand 3,52670594808.46801,4196717144.61915,0.0,91757151.12047,0.0
2021-10-01,Business Unit 1,Category 2,Brand 3,60215144556.28,10112819757.52775,2776483834.97,91757151.12047,0.0
2021-11-01,Business Unit 1,Category 2,Brand 3,47465255381.752,2430805262.5,6010674776.3238,91757151.12047,0.0
2021-12-01,Business Unit 1,Category 2,Brand 3,52000106617.58,3628331115.6776,3898723494.4152,91757151.12047,0.0
2022-01-01,Business Unit 1,Category 2,Brand 3,45873914383.15199,1944644210.0,5617448050.708399,91757151.12047,0.0
2022-02-01,Business Unit 1,Category 2,Brand 3,39052203025.35201,2019084185.05,5686153870.0268,91757151.12047,0.0
2022-03-01,Business Unit 1,Category 2,Brand 3,40923143334.839,1925794670.0,4764496438.283999,91757151.12047,0.0
2022-04-01,Business Unit 1,Category 2,Brand 3,44083255835.32,7702137242.915,4504648240.8952,91757151.12047,0.0
2022-05-01,Business Unit 1,Category 2,Brand 3,54271753904.136,2734031529.3,4630883484.611599,91757151.12047,0.0
2022-06-01,Business Unit 1,Category 2,Brand 3,38367523958.274994,5606920381.55664,0.0,91757151.12047,0.0
2022-07-01,Business Unit 1,Category 2,Brand 3,40953348780.212006,1542520690.0,4363872462.022799,91757151.12047,0.0
2022-08-01,Business Unit 1,Category 2,Brand 3,42163382434.15201,1774998350.0,4452290376.291599,91757151.12047,0.0
2022-09-01,Business Unit 1,Category 2,Brand 3,41672438625.03599,7115701350.0,4292463869.995599,151176105.558464,0.0
2022-10-01,Business Unit 1,Category 2,Brand 3,46125436990.05,1891237180.0,4220255429.1544,151176105.558464,0.0
2022-11-01,Business Unit 1,Category 2,Brand 3,42567197386.208,9938983665.834402,4152829367.9384,91757151.12047,0.0
2022-12-01,Business Unit 1,Category 2,Brand 3,48947275959.85,8799478555.341444,3393841705.546971,91757151.12047,2469289740.0
2023-01-01,Business Unit 1,Category 2,Brand 3,45325631529.992004,6586403857.20047,6670719560.216224,0.0,1570795000.0
2023-02-01,Business Unit 1,Category 2,Brand 3,41684480653.665,2832357745.11047,8241746288.60701,0.0,0.0
2023-03-01,Business Unit 1,Category 2,Brand 3,44529462146.2,3720293601.12047,8612286873.125555,0.0,0.0
2023-04-01,Business Unit 1,Category 2,Brand 3,52610820403.855995,8941141917.2693,8915448698.343424,0.0,0.0
